x,panel,w1,site_index,sample_index,stratum,x_coord,y_coord,is_in_sample,stratum_index,site_in_stratum_index,y,seq_site_index,trials
0,panel-01,-0.08981586179865036,178,1,B,0.875,0.575,TRUE,2,176,70,1,100
0,panel-01,-0.08981586179865036,178,2,B,0.875,0.575,TRUE,2,176,77,1,100
0,panel-01,-0.08981586179865036,178,3,B,0.875,0.575,TRUE,2,176,81,1,100
0,panel-01,-0.08981586179865036,178,4,B,0.875,0.575,TRUE,2,176,79,1,100
5,panel-01,-0.08981586179865036,178,1,B,0.875,0.575,TRUE,2,176,90,1,100
5,panel-01,-0.08981586179865036,178,2,B,0.875,0.575,TRUE,2,176,85,1,100
5,panel-01,-0.08981586179865036,178,3,B,0.875,0.575,TRUE,2,176,85,1,100
5,panel-01,-0.08981586179865036,178,4,B,0.875,0.575,TRUE,2,176,91,1,100
0,panel-01,0.07334993401744722,183,1,B,0.125,0.5249999999999999,TRUE,2,179,72,2,100
0,panel-01,0.07334993401744722,183,2,B,0.125,0.5249999999999999,TRUE,2,179,76,2,100
0,panel-01,0.07334993401744722,183,3,B,0.125,0.5249999999999999,TRUE,2,179,77,2,100
0,panel-01,0.07334993401744722,183,4,B,0.125,0.5249999999999999,TRUE,2,179,68,2,100
5,panel-01,0.07334993401744722,183,1,B,0.125,0.5249999999999999,TRUE,2,179,91,2,100
5,panel-01,0.07334993401744722,183,2,B,0.125,0.5249999999999999,TRUE,2,179,84,2,100
5,panel-01,0.07334993401744722,183,3,B,0.125,0.5249999999999999,TRUE,2,179,78,2,100
5,panel-01,0.07334993401744722,183,4,B,0.125,0.5249999999999999,TRUE,2,179,85,2,100
0,panel-01,0.23150062745587027,202,1,A,0.07500000000000001,0.475,TRUE,1,6,75,1,100
0,panel-01,0.23150062745587027,202,2,A,0.07500000000000001,0.475,TRUE,1,6,78,1,100
0,panel-01,0.23150062745587027,202,3,A,0.07500000000000001,0.475,TRUE,1,6,80,1,100
0,panel-01,0.23150062745587027,202,4,A,0.07500000000000001,0.475,TRUE,1,6,68,1,100
5,panel-01,0.23150062745587027,202,1,A,0.07500000000000001,0.475,TRUE,1,6,83,1,100
5,panel-01,0.23150062745587027,202,2,A,0.07500000000000001,0.475,TRUE,1,6,78,1,100
5,panel-01,0.23150062745587027,202,3,A,0.07500000000000001,0.475,TRUE,1,6,83,1,100
5,panel-01,0.23150062745587027,202,4,A,0.07500000000000001,0.475,TRUE,1,6,78,1,100
0,panel-01,0.1638780453866941,211,1,B,0.525,0.475,TRUE,2,204,72,3,100
0,panel-01,0.1638780453866941,211,2,B,0.525,0.475,TRUE,2,204,74,3,100
0,panel-01,0.1638780453866941,211,3,B,0.525,0.475,TRUE,2,204,68,3,100
0,panel-01,0.1638780453866941,211,4,B,0.525,0.475,TRUE,2,204,70,3,100
5,panel-01,0.1638780453866941,211,1,B,0.525,0.475,TRUE,2,204,88,3,100
5,panel-01,0.1638780453866941,211,2,B,0.525,0.475,TRUE,2,204,84,3,100
5,panel-01,0.1638780453866941,211,3,B,0.525,0.475,TRUE,2,204,85,3,100
5,panel-01,0.1638780453866941,211,4,B,0.525,0.475,TRUE,2,204,87,3,100
0,panel-01,-0.07553622373303263,326,1,A,0.275,0.17499999999999993,TRUE,1,38,79,2,100
0,panel-01,-0.07553622373303263,326,2,A,0.275,0.17499999999999993,TRUE,1,38,84,2,100
0,panel-01,-0.07553622373303263,326,3,A,0.275,0.17499999999999993,TRUE,1,38,78,2,100
0,panel-01,-0.07553622373303263,326,4,A,0.275,0.17499999999999993,TRUE,1,38,79,2,100
5,panel-01,-0.07553622373303263,326,1,A,0.275,0.17499999999999993,TRUE,1,38,80,2,100
5,panel-01,-0.07553622373303263,326,2,A,0.275,0.17499999999999993,TRUE,1,38,82,2,100
5,panel-01,-0.07553622373303263,326,3,A,0.275,0.17499999999999993,TRUE,1,38,79,2,100
5,panel-01,-0.07553622373303263,326,4,A,0.275,0.17499999999999993,TRUE,1,38,82,2,100
0,panel-01,-0.09386171570313634,333,1,B,0.625,0.17499999999999993,TRUE,2,294,77,4,100
0,panel-01,-0.09386171570313634,333,2,B,0.625,0.17499999999999993,TRUE,2,294,77,4,100
0,panel-01,-0.09386171570313634,333,3,B,0.625,0.17499999999999993,TRUE,2,294,74,4,100
0,panel-01,-0.09386171570313634,333,4,B,0.625,0.17499999999999993,TRUE,2,294,81,4,100
5,panel-01,-0.09386171570313634,333,1,B,0.625,0.17499999999999993,TRUE,2,294,91,4,100
5,panel-01,-0.09386171570313634,333,2,B,0.625,0.17499999999999993,TRUE,2,294,92,4,100
5,panel-01,-0.09386171570313634,333,3,B,0.625,0.17499999999999993,TRUE,2,294,95,4,100
5,panel-01,-0.09386171570313634,333,4,B,0.625,0.17499999999999993,TRUE,2,294,90,4,100
0,panel-01,0.21524043179748936,342,1,A,0.07500000000000001,0.125,TRUE,1,41,75,3,100
0,panel-01,0.21524043179748936,342,2,A,0.07500000000000001,0.125,TRUE,1,41,77,3,100
0,panel-01,0.21524043179748936,342,3,A,0.07500000000000001,0.125,TRUE,1,41,66,3,100
0,panel-01,0.21524043179748936,342,4,A,0.07500000000000001,0.125,TRUE,1,41,78,3,100
5,panel-01,0.21524043179748936,342,1,A,0.07500000000000001,0.125,TRUE,1,41,72,3,100
5,panel-01,0.21524043179748936,342,2,A,0.07500000000000001,0.125,TRUE,1,41,73,3,100
5,panel-01,0.21524043179748936,342,3,A,0.07500000000000001,0.125,TRUE,1,41,70,3,100
5,panel-01,0.21524043179748936,342,4,A,0.07500000000000001,0.125,TRUE,1,41,74,3,100
0,panel-01,-0.04911682354128025,368,1,A,0.375,0.07499999999999996,TRUE,1,55,87,4,100
0,panel-01,-0.04911682354128025,368,2,A,0.375,0.07499999999999996,TRUE,1,55,79,4,100
0,panel-01,-0.04911682354128025,368,3,A,0.375,0.07499999999999996,TRUE,1,55,79,4,100
0,panel-01,-0.04911682354128025,368,4,A,0.375,0.07499999999999996,TRUE,1,55,87,4,100
5,panel-01,-0.04911682354128025,368,1,A,0.375,0.07499999999999996,TRUE,1,55,91,4,100
5,panel-01,-0.04911682354128025,368,2,A,0.375,0.07499999999999996,TRUE,1,55,85,4,100
5,panel-01,-0.04911682354128025,368,3,A,0.375,0.07499999999999996,TRUE,1,55,78,4,100
5,panel-01,-0.04911682354128025,368,4,A,0.375,0.07499999999999996,TRUE,1,55,80,4,100
1,panel-02,-0.13392743631454135,21,1,B,0.025,0.925,TRUE,2,21,77,5,100
1,panel-02,-0.13392743631454135,21,2,B,0.025,0.925,TRUE,2,21,77,5,100
1,panel-02,-0.13392743631454135,21,3,B,0.025,0.925,TRUE,2,21,83,5,100
1,panel-02,-0.13392743631454135,21,4,B,0.025,0.925,TRUE,2,21,81,5,100
6,panel-02,-0.13392743631454135,21,1,B,0.025,0.925,TRUE,2,21,90,5,100
6,panel-02,-0.13392743631454135,21,2,B,0.025,0.925,TRUE,2,21,94,5,100
6,panel-02,-0.13392743631454135,21,3,B,0.025,0.925,TRUE,2,21,93,5,100
6,panel-02,-0.13392743631454135,21,4,B,0.025,0.925,TRUE,2,21,92,5,100
1,panel-02,-0.025185554058755,140,1,B,0.9750000000000001,0.675,TRUE,2,140,80,6,100
1,panel-02,-0.025185554058755,140,2,B,0.9750000000000001,0.675,TRUE,2,140,75,6,100
1,panel-02,-0.025185554058755,140,3,B,0.9750000000000001,0.675,TRUE,2,140,75,6,100
1,panel-02,-0.025185554058755,140,4,B,0.9750000000000001,0.675,TRUE,2,140,84,6,100
6,panel-02,-0.025185554058755,140,1,B,0.9750000000000001,0.675,TRUE,2,140,85,6,100
6,panel-02,-0.025185554058755,140,2,B,0.9750000000000001,0.675,TRUE,2,140,91,6,100
6,panel-02,-0.025185554058755,140,3,B,0.9750000000000001,0.675,TRUE,2,140,92,6,100
6,panel-02,-0.025185554058755,140,4,B,0.9750000000000001,0.675,TRUE,2,140,90,6,100
1,panel-02,0.20389310042639422,150,1,B,0.47500000000000003,0.625,TRUE,2,149,79,7,100
1,panel-02,0.20389310042639422,150,2,B,0.47500000000000003,0.625,TRUE,2,149,76,7,100
1,panel-02,0.20389310042639422,150,3,B,0.47500000000000003,0.625,TRUE,2,149,70,7,100
1,panel-02,0.20389310042639422,150,4,B,0.47500000000000003,0.625,TRUE,2,149,72,7,100
6,panel-02,0.20389310042639422,150,1,B,0.47500000000000003,0.625,TRUE,2,149,92,7,100
6,panel-02,0.20389310042639422,150,2,B,0.47500000000000003,0.625,TRUE,2,149,85,7,100
6,panel-02,0.20389310042639422,150,3,B,0.47500000000000003,0.625,TRUE,2,149,86,7,100
6,panel-02,0.20389310042639422,150,4,B,0.47500000000000003,0.625,TRUE,2,149,90,7,100
1,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,82,5,100
1,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,83,5,100
1,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,81,5,100
1,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,78,5,100
1,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,75,5,100
1,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,80,5,100
1,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,83,5,100
1,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,80,5,100
6,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,84,5,100
6,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,82,5,100
6,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,83,5,100
6,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,77,5,100
6,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,88,5,100
6,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,89,5,100
6,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,81,5,100
6,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,81,5,100
1,panel-02,-0.22277477963659675,357,1,B,0.8250000000000001,0.125,TRUE,2,310,84,8,100
1,panel-02,-0.22277477963659675,357,2,B,0.8250000000000001,0.125,TRUE,2,310,83,8,100
1,panel-02,-0.22277477963659675,357,3,B,0.8250000000000001,0.125,TRUE,2,310,89,8,100
1,panel-02,-0.22277477963659675,357,4,B,0.8250000000000001,0.125,TRUE,2,310,83,8,100
6,panel-02,-0.22277477963659675,357,1,B,0.8250000000000001,0.125,TRUE,2,310,92,8,100
6,panel-02,-0.22277477963659675,357,2,B,0.8250000000000001,0.125,TRUE,2,310,92,8,100
6,panel-02,-0.22277477963659675,357,3,B,0.8250000000000001,0.125,TRUE,2,310,95,8,100
6,panel-02,-0.22277477963659675,357,4,B,0.8250000000000001,0.125,TRUE,2,310,96,8,100
1,panel-02,0.08834762411476607,381,1,A,0.025,0.02499999999999991,TRUE,1,56,80,6,100
1,panel-02,0.08834762411476607,381,2,A,0.025,0.02499999999999991,TRUE,1,56,83,6,100
1,panel-02,0.08834762411476607,381,3,A,0.025,0.02499999999999991,TRUE,1,56,88,6,100
1,panel-02,0.08834762411476607,381,4,A,0.025,0.02499999999999991,TRUE,1,56,88,6,100
6,panel-02,0.08834762411476607,381,1,A,0.025,0.02499999999999991,TRUE,1,56,82,6,100
6,panel-02,0.08834762411476607,381,2,A,0.025,0.02499999999999991,TRUE,1,56,77,6,100
6,panel-02,0.08834762411476607,381,3,A,0.025,0.02499999999999991,TRUE,1,56,83,6,100
6,panel-02,0.08834762411476607,381,4,A,0.025,0.02499999999999991,TRUE,1,56,90,6,100
2,panel-03,-0.20039914909672646,126,1,B,0.275,0.675,TRUE,2,126,89,9,100
2,panel-03,-0.20039914909672646,126,2,B,0.275,0.675,TRUE,2,126,90,9,100
2,panel-03,-0.20039914909672646,126,3,B,0.275,0.675,TRUE,2,126,87,9,100
2,panel-03,-0.20039914909672646,126,4,B,0.275,0.675,TRUE,2,126,86,9,100
7,panel-03,-0.20039914909672646,126,1,B,0.275,0.675,TRUE,2,126,92,9,100
7,panel-03,-0.20039914909672646,126,2,B,0.275,0.675,TRUE,2,126,87,9,100
7,panel-03,-0.20039914909672646,126,3,B,0.275,0.675,TRUE,2,126,94,9,100
7,panel-03,-0.20039914909672646,126,4,B,0.275,0.675,TRUE,2,126,95,9,100
2,panel-03,7.31496920651286e-4,237,1,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,87,10,100
2,panel-03,7.31496920651286e-4,237,2,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,82,10,100
2,panel-03,7.31496920651286e-4,237,3,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,78,10,100
2,panel-03,7.31496920651286e-4,237,4,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,79,10,100
7,panel-03,7.31496920651286e-4,237,1,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,88,10,100
7,panel-03,7.31496920651286e-4,237,2,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,91,10,100
7,panel-03,7.31496920651286e-4,237,3,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,90,10,100
7,panel-03,7.31496920651286e-4,237,4,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,93,10,100
2,panel-03,-0.027786760502546998,262,1,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,79,7,100
2,panel-03,-0.027786760502546998,262,2,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,85,7,100
2,panel-03,-0.027786760502546998,262,3,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,84,7,100
2,panel-03,-0.027786760502546998,262,4,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,74,7,100
7,panel-03,-0.027786760502546998,262,1,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,87,7,100
7,panel-03,-0.027786760502546998,262,2,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,85,7,100
7,panel-03,-0.027786760502546998,262,3,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,84,7,100
7,panel-03,-0.027786760502546998,262,4,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,81,7,100
2,panel-03,0.13098745915336735,278,1,B,0.875,0.32499999999999996,TRUE,2,258,83,11,100
2,panel-03,0.13098745915336735,278,2,B,0.875,0.32499999999999996,TRUE,2,258,77,11,100
2,panel-03,0.13098745915336735,278,3,B,0.875,0.32499999999999996,TRUE,2,258,82,11,100
2,panel-03,0.13098745915336735,278,4,B,0.875,0.32499999999999996,TRUE,2,258,85,11,100
7,panel-03,0.13098745915336735,278,1,B,0.875,0.32499999999999996,TRUE,2,258,91,11,100
7,panel-03,0.13098745915336735,278,2,B,0.875,0.32499999999999996,TRUE,2,258,89,11,100
7,panel-03,0.13098745915336735,278,3,B,0.875,0.32499999999999996,TRUE,2,258,86,11,100
7,panel-03,0.13098745915336735,278,4,B,0.875,0.32499999999999996,TRUE,2,258,92,11,100
2,panel-03,0.14982436394263765,286,1,A,0.275,0.2749999999999999,TRUE,1,26,88,8,100
2,panel-03,0.14982436394263765,286,2,A,0.275,0.2749999999999999,TRUE,1,26,79,8,100
2,panel-03,0.14982436394263765,286,3,A,0.275,0.2749999999999999,TRUE,1,26,82,8,100
2,panel-03,0.14982436394263765,286,4,A,0.275,0.2749999999999999,TRUE,1,26,75,8,100
7,panel-03,0.14982436394263765,286,1,A,0.275,0.2749999999999999,TRUE,1,26,78,8,100
7,panel-03,0.14982436394263765,286,2,A,0.275,0.2749999999999999,TRUE,1,26,77,8,100
7,panel-03,0.14982436394263765,286,3,A,0.275,0.2749999999999999,TRUE,1,26,78,8,100
7,panel-03,0.14982436394263765,286,4,A,0.275,0.2749999999999999,TRUE,1,26,72,8,100
2,panel-03,0.055703499230061494,332,1,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,82,12,100
2,panel-03,0.055703499230061494,332,2,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,86,12,100
2,panel-03,0.055703499230061494,332,3,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,79,12,100
2,panel-03,0.055703499230061494,332,4,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,80,12,100
7,panel-03,0.055703499230061494,332,1,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,90,12,100
7,panel-03,0.055703499230061494,332,2,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,91,12,100
7,panel-03,0.055703499230061494,332,3,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,89,12,100
7,panel-03,0.055703499230061494,332,4,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,90,12,100
2,panel-03,0.24840003272824984,363,1,A,0.125,0.07499999999999996,TRUE,1,50,81,9,100
2,panel-03,0.24840003272824984,363,2,A,0.125,0.07499999999999996,TRUE,1,50,70,9,100
2,panel-03,0.24840003272824984,363,3,A,0.125,0.07499999999999996,TRUE,1,50,81,9,100
2,panel-03,0.24840003272824984,363,4,A,0.125,0.07499999999999996,TRUE,1,50,74,9,100
7,panel-03,0.24840003272824984,363,1,A,0.125,0.07499999999999996,TRUE,1,50,77,9,100
7,panel-03,0.24840003272824984,363,2,A,0.125,0.07499999999999996,TRUE,1,50,78,9,100
7,panel-03,0.24840003272824984,363,3,A,0.125,0.07499999999999996,TRUE,1,50,91,9,100
7,panel-03,0.24840003272824984,363,4,A,0.125,0.07499999999999996,TRUE,1,50,72,9,100
2,panel-03,0.16290308653970062,383,1,A,0.125,0.02499999999999991,TRUE,1,58,82,10,100
2,panel-03,0.16290308653970062,383,2,A,0.125,0.02499999999999991,TRUE,1,58,68,10,100
2,panel-03,0.16290308653970062,383,3,A,0.125,0.02499999999999991,TRUE,1,58,83,10,100
2,panel-03,0.16290308653970062,383,4,A,0.125,0.02499999999999991,TRUE,1,58,65,10,100
7,panel-03,0.16290308653970062,383,1,A,0.125,0.02499999999999991,TRUE,1,58,77,10,100
7,panel-03,0.16290308653970062,383,2,A,0.125,0.02499999999999991,TRUE,1,58,85,10,100
7,panel-03,0.16290308653970062,383,3,A,0.125,0.02499999999999991,TRUE,1,58,87,10,100
7,panel-03,0.16290308653970062,383,4,A,0.125,0.02499999999999991,TRUE,1,58,78,10,100
3,panel-04,-0.18421208557307941,22,1,B,0.07500000000000001,0.925,TRUE,2,22,86,13,100
3,panel-04,-0.18421208557307941,22,2,B,0.07500000000000001,0.925,TRUE,2,22,87,13,100
3,panel-04,-0.18421208557307941,22,3,B,0.07500000000000001,0.925,TRUE,2,22,86,13,100
3,panel-04,-0.18421208557307941,22,4,B,0.07500000000000001,0.925,TRUE,2,22,85,13,100
3,panel-04,0.09158335377979811,95,1,B,0.7250000000000001,0.775,TRUE,2,95,80,14,100
3,panel-04,0.09158335377979811,95,2,B,0.7250000000000001,0.775,TRUE,2,95,82,14,100
3,panel-04,0.09158335377979811,95,3,B,0.7250000000000001,0.775,TRUE,2,95,81,14,100
3,panel-04,0.09158335377979811,95,4,B,0.7250000000000001,0.775,TRUE,2,95,82,14,100
3,panel-04,0.14556192868828322,172,1,B,0.5750000000000001,0.575,TRUE,2,170,80,15,100
3,panel-04,0.14556192868828322,172,2,B,0.5750000000000001,0.575,TRUE,2,170,81,15,100
3,panel-04,0.14556192868828322,172,3,B,0.5750000000000001,0.575,TRUE,2,170,79,15,100
3,panel-04,0.14556192868828322,172,4,B,0.5750000000000001,0.575,TRUE,2,170,75,15,100
3,panel-04,0.13451232356053774,221,1,A,0.025,0.42499999999999993,TRUE,1,8,77,11,100
3,panel-04,0.13451232356053774,221,2,A,0.025,0.42499999999999993,TRUE,1,8,82,11,100
3,panel-04,0.13451232356053774,221,3,A,0.025,0.42499999999999993,TRUE,1,8,78,11,100
3,panel-04,0.13451232356053774,221,4,A,0.025,0.42499999999999993,TRUE,1,8,71,11,100
3,panel-04,0.25763449708432995,264,1,A,0.17500000000000002,0.32499999999999996,TRUE,1,19,72,12,100
3,panel-04,0.25763449708432995,264,2,A,0.17500000000000002,0.32499999999999996,TRUE,1,19,66,12,100
3,panel-04,0.25763449708432995,264,3,A,0.17500000000000002,0.32499999999999996,TRUE,1,19,73,12,100
3,panel-04,0.25763449708432995,264,4,A,0.17500000000000002,0.32499999999999996,TRUE,1,19,63,12,100
3,panel-04,0.02133142925679241,305,1,A,0.225,0.22499999999999998,TRUE,1,31,78,13,100
3,panel-04,0.02133142925679241,305,2,A,0.225,0.22499999999999998,TRUE,1,31,80,13,100
3,panel-04,0.02133142925679241,305,3,A,0.225,0.22499999999999998,TRUE,1,31,83,13,100
3,panel-04,0.02133142925679241,305,4,A,0.225,0.22499999999999998,TRUE,1,31,86,13,100
3,panel-04,0.3611429922552754,330,1,B,0.47500000000000003,0.17499999999999993,TRUE,2,291,68,16,100
3,panel-04,0.3611429922552754,330,2,B,0.47500000000000003,0.17499999999999993,TRUE,2,291,75,16,100
3,panel-04,0.3611429922552754,330,3,B,0.47500000000000003,0.17499999999999993,TRUE,2,291,81,16,100
3,panel-04,0.3611429922552754,330,4,B,0.47500000000000003,0.17499999999999993,TRUE,2,291,80,16,100
3,panel-04,0.14049747670662163,341,1,A,0.025,0.125,TRUE,1,40,78,14,100
3,panel-04,0.14049747670662163,341,2,A,0.025,0.125,TRUE,1,40,74,14,100
3,panel-04,0.14049747670662163,341,3,A,0.025,0.125,TRUE,1,40,82,14,100
3,panel-04,0.14049747670662163,341,4,A,0.025,0.125,TRUE,1,40,82,14,100
4,panel-05,0.08495996701805,17,1,B,0.8250000000000001,0.975,TRUE,2,17,84,17,100
4,panel-05,0.08495996701805,17,2,B,0.8250000000000001,0.975,TRUE,2,17,92,17,100
4,panel-05,0.08495996701805,17,3,B,0.8250000000000001,0.975,TRUE,2,17,87,17,100
4,panel-05,0.08495996701805,17,4,B,0.8250000000000001,0.975,TRUE,2,17,82,17,100
4,panel-05,-0.0931472156184486,107,1,B,0.325,0.725,TRUE,2,107,86,18,100
4,panel-05,-0.0931472156184486,107,2,B,0.325,0.725,TRUE,2,107,89,18,100
4,panel-05,-0.0931472156184486,107,3,B,0.325,0.725,TRUE,2,107,87,18,100
4,panel-05,-0.0931472156184486,107,4,B,0.325,0.725,TRUE,2,107,91,18,100
4,panel-05,-0.002055424082110662,133,1,B,0.625,0.675,TRUE,2,133,93,19,100
4,panel-05,-0.002055424082110662,133,2,B,0.625,0.675,TRUE,2,133,92,19,100
4,panel-05,-0.002055424082110662,133,3,B,0.625,0.675,TRUE,2,133,88,19,100
4,panel-05,-0.002055424082110662,133,4,B,0.625,0.675,TRUE,2,133,81,19,100
4,panel-05,0.28088494837367917,223,1,A,0.125,0.42499999999999993,TRUE,1,10,72,15,100
4,panel-05,0.28088494837367917,223,2,A,0.125,0.42499999999999993,TRUE,1,10,70,15,100
4,panel-05,0.28088494837367917,223,3,A,0.125,0.42499999999999993,TRUE,1,10,72,15,100
4,panel-05,0.28088494837367917,223,4,A,0.125,0.42499999999999993,TRUE,1,10,68,15,100
4,panel-05,-0.06676444568462148,302,1,A,0.07500000000000001,0.22499999999999998,TRUE,1,28,85,16,100
4,panel-05,-0.06676444568462148,302,2,A,0.07500000000000001,0.22499999999999998,TRUE,1,28,75,16,100
4,panel-05,-0.06676444568462148,302,3,A,0.07500000000000001,0.22499999999999998,TRUE,1,28,75,16,100
4,panel-05,-0.06676444568462148,302,4,A,0.07500000000000001,0.22499999999999998,TRUE,1,28,81,16,100
4,panel-05,-0.0398001252927509,325,1,A,0.225,0.17499999999999993,TRUE,1,37,80,17,100
4,panel-05,-0.0398001252927509,325,2,A,0.225,0.17499999999999993,TRUE,1,37,83,17,100
4,panel-05,-0.0398001252927509,325,3,A,0.225,0.17499999999999993,TRUE,1,37,78,17,100
4,panel-05,-0.0398001252927509,325,4,A,0.225,0.17499999999999993,TRUE,1,37,73,17,100
4,panel-05,-0.08093681461998638,394,1,B,0.675,0.02499999999999991,TRUE,2,330,83,20,100
4,panel-05,-0.08093681461998638,394,2,B,0.675,0.02499999999999991,TRUE,2,330,87,20,100
4,panel-05,-0.08093681461998638,394,3,B,0.675,0.02499999999999991,TRUE,2,330,88,20,100
4,panel-05,-0.08093681461998638,394,4,B,0.675,0.02499999999999991,TRUE,2,330,88,20,100
